,Course Name,Topic Name
37,Machine Learning for Time Series Data in Python,Python
38,Customer Analytics & A/B Testing in Python,Python
39,Linear Classifiers in Python,Python
40,HR Analytics in Python: Predicting Employee Churn,Python
41,Feature Engineering with PySpark,Python
42,Machine Learning with Tree-Based Models in Python,Python
43,Foundations of Predictive Analytics in Python (Part 1),Python
44,Advanced Deep Learning with Keras in Python,Python
45,Preprocessing for Machine Learning in Python,Python
46,Machine Learning for Finance in Python,Python
47,Intro to Python for Finance,Python
48,Analyzing Police Activity with pandas,Python
49,Data Visualization with Seaborn,Python
50,Statistical Simulation in Python,Python
51,Financial Forecasting in Python,Python
52,Python for MATLAB Users,Python
53,Visualizing Geospatial Data in Python,Python
54,Biomedical Image Analysis in Python,Python
55,Building Recommendation Engines with PySpark,Python
56,Web Scraping with Python,Python
57,Convolutional Neural Networks for Image Processing,Python
58,Advanced NLP with spaCy,Python
59,Supply Chain Analytics in Python,Python
60,Analyzing Social Media Data in Python,Python
61,Object Oriented Programming in Python,Python
62,Fraud Detection in Python,Python
63,Customer Segmentation in Python,Python
64,Foundations of Predictive Analytics in Python (Part 2),Python
65,Big Data Fundamentals via PySpark,Python
66,Introduction to Data Science in Python,Python
67,Python for Spreadsheet Users,Python
68,Clustering Methods with SciPy,Python
0,Intro to SQL for Data Science,SQL
1,Joining Data in SQL,SQL
2,Intermediate SQL Server,SQL
3,SQL for Exploratory Data Analysis,SQL
4,Intermediate SQL,SQL
5,Introduction to Relational Databases in SQL,SQL
0,Introduction to Git for Data Science,Git
0,Introduction to Shell for Data Science,Shell
1,Conda Essentials,Shell
2,Conda for Building & Distributing Packages,Shell
0,Pivot Tables with Spreadsheets,Spreadsheets
1,Intermediate Spreadsheets for Data Science,Spreadsheets
2,Spreadsheet Basics,Spreadsheets
3,Data Analysis with Spreadsheets,Spreadsheets
